key,address,city,country,identifier,phone,points,key:user_account
# base entity
customer-01,789 Aviation Way,Los Angeles,USA,AB123456,+1234567890,1250,user-account-customer-01
customer-02,456 Skyhigh Blvd,New York,USA,CD654321,+19876543210,300,user-account-customer-01
customer-03,321 Jetstream Ave,Chicago,USA,EF987654,+12345678901,0,user-account-customer-01
customer-04,654 Flight Path Rd,Miami,USA,GH345678,+11234567890,25000,user-account-customer-01
customer-05,987 Cloudy Lane,San Francisco,USA,IJ876543,+1987654321,450000,user-account-customer-01
customer-06,1354 Wingtip Way,Dallas,USA,KL234567,+123456,1500,user-account-customer-01
customer-07,2468 Soaring Dr,Montreal,Canada,MN345678,+23456789012,12500,user-account-customer-01
customer-08,1357 High Flyer Ct,London,UK,OP123456,+34567890123,90000,user-account-customer-01
customer-09,852 Horizon St,Sydney,Australia,QR654321,+45678901234,30000,user-account-customer-01
customer-10,963 Aviator Blvd,Berlin,Germany,ST987654,+56789012345,500000,user-account-customer-01
customer-11,147 Flightline St,Tokyo,Japan,UV111222,+67890123456,null,user-account-customer-01
customer-12,555 Sky Lane,Paris,France,WX222333,+78901234567,20000,user-account-customer-01
customer-13,888 Airway Rd,São Paulo,Brazil,YZ333444,+89012345678,350000,user-account-customer-01
customer-14,123 Flight Ave,Cairo,Egypt,AA444555,+90123456789,10000,user-account-customer-01
# address - standard variations
customer-15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",Los Angeles,USA,AB123457,+1234567890,1250,user-account-consumer-01
customer-16,L,New York,USA,CD654322,+19876543210,300,user-account-consumer-02
customer-17,Lo,Chicago,USA,EF987655,+12345678901,0,user-account-consumer-03
customer-18,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",Miami,USA,GH345679,+11234567890,25000,user-account-provider-01
customer-19,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",San Francisco,USA,IJ876544,+1987654321,450000,user-account-provider-02
customer-20,โลเร็ม อิปซัม,Dallas,USA,KL234568,+123456,1500,user-account-provider-03
customer-21,لوريم إيبسوم,Montreal,Canada,MN345679,+23456789012,12500,user-account-manager-01
customer-22,洛伦·伊普森,London,UK,OP123457,+34567890123,90000,user-account-manager-02
customer-23,<marquee>Hacked</marquee>,Sydney,Australia,QR654322,+45678901234,30000,user-account-manager-03
customer-24,<script>alert(‘Hacked!’);</script>,Berlin,Germany,ST987655,+56789012345,500000,user-account-member-01
customer-25,' or 'A' = 'A,Tokyo,Japan,UV111223,+67890123456,null,user-account-member-02
# city - standard variations
customer-26,789 Aviation Way,Lorem ipsum dolor sit ame,USA,AB123458,+1234567890,1250,user-account-consumer-01
customer-27,456 Skyhigh Blvd,โลเร็ม อิปซัม,USA,CD654323,+19876543210,300,user-account-consumer-02
customer-28,321 Jetstream Ave,洛伦·伊普森,USA,EF987656,+12345678901,0,user-account-consumer-03
customer-29,654 Flight Path Rd,لوريم إيبسوم,USA,GH345690,+11234567890,25000,user-account-provider-01
customer-30,987 Cloudy Lane,' or 'A' = 'A,USA,IJ876545,+1987654321,450000,user-account-provider-02
customer-31,1354 Wingtip Way,<script>alert(‘Hacked!’);</script>,USA,KL234569,+123456,1500,user-account-provider-03
