key,dateOfBirth,email,name,passportNumber,specialNeeds,key:customer,draftMode
# base entity
passenger-01,2002/05/12 0:00,alice.johnson@example.com,Alice Johnson,A1B2C3D4,null,customer-01,true
passenger-02,2005/09/23 0:01,bob.smith@example.com,Bob Smith,X9Y8Z7W6,Wheelchair assistance,customer-02,true
passenger-03,2003/11/30 0:00,charlie.davis@example.com,Charlie Davis,Q1W2E3R4,null,customer-03,true
passenger-04,2008/03/15 06:00,david.martinez@example.com,David Martinez,LKJH9876,Vegetarian meal,customer-03,true
passenger-05,2010/07/08 14:00,emily.white@example.com,Emily White,ZXCV1234,null,customer-01,true
passenger-06,2015/12/21 00:00,frank.thomas@example.com,Frank Thomas,QWER5678,Extra legroom,customer-02,true
passenger-07,2018/06/05 23:59,grace.lee@example.com,Grace Lee,ASDF4321,null,customer-03,true
passenger-08,2020/09/17 00:00,henry.brown@example.com,Henry Brown,MNBV6789,Deaf assistance,customer-01,true
# date_of_birth - standard variations
passenger-09,2011/04/16 00:00,alice.johnson@example.com,Alice Johnson,A1B2C3D4,null,customer-01,true
passenger-10,2000/01/01 00:00,bob.smith@example.com,Bob Smith,X9Y8Z7W6,Wheelchair assistance,customer-02,true
passenger-11,2000/01/01 00:01,charlie.davis@example.com,Charlie Davis,Q1W2E3R4,null,customer-01,true
passenger-12,2022/07/29 23:59,david.martinez@example.com,David Martinez,LKJH9876,Vegetarian meal,customer-01,true
passenger-13,2022/07/30 00:00,emily.white@example.com,Emily White,ZXCV1234,null,customer-03,true
# email - standard variations
passenger-14,2002/05/12 0:00,acme@lorem-ipsum.org,Alice Johnson,A1B2C3D4,null,customer-01,true
passenger-15,2005/09/23 0:01,acme@lorem-ipsum.org,Bob Smith,X9Y8Z7W6,Wheelchair assistance,customer-02,true
passenger-16,2003/11/30 0:00,a@b.e,Charlie Davis,Q1W2E3R4,null,customer-03,true
passenger-17,2008/03/15 06:00,a@b.es,David Martinez,LKJH9876,Vegetarian meal,customer-01,true
passenger-18,2010/07/08 14:00,a@b.esx,Emily White,ZXCV1234,null,customer-02,true
passenger-19,2015/12/21 00:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,Frank Thomas,QWER5678,Extra legroom,customer-01,true
passenger-20,2018/06/05 23:59,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,Grace Lee,ASDF4321,null,customer-02,true
